사업명,사업목적,지원내용,지원대상,지원조건,지원규모_신규(단위-억원),지원규모_계속(단위-억원),지원규모_합계(단위-억원),공고시작년월,공고종료년월,접수시작년월,접수종료년월,평가시작년월,평가종료년월,협약및사업비지급시작년월,협약및사업비지급종료년월
AI자율제조SDM플랫폼기술개발사업,제조과정에서 산업 AI 기반의 로봇·장비·시스템 등이 자율적으로 협업하기 위해 기업 내 혹은 기업 간 이기종 IT·OT 제조데이터를 연계하는 SDM 플랫폼 기술개발,"AI 자율제조 SDM 플랫폼 기술개발 : AI 자율제조 SDM 플랫폼 공통 적용 기술, 업종별(기계산업, 소재산업, IT산업) 특화 기술, 플랫폼 성능검증 기술개발 등","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 15억원 내외, 총 개발기간 3년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내",92,0,92,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
PIM인공지능반도체핵심기술개발(R&D),"DRAM 제조 공정 기술 고도화, PIM용 차세대 비휘발성 메모리(MRAM, PRAM) 제어 기술 및 공정·소재·장비 상용화 기술 개발을 통한 PIM용 메모리 기술 고도화",PIM 제조를 위한 후공정 조립 및 검사 소재·부품·장비 및 전공정용 증착 소재·부품·장비 기술개발,"기업, 대학, 연구기관, 연구조합, 사업자단체 등","과제당 연간 10억원 내외, 총 개발기간 3~4년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내",20,159,179,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
SDV아키텍처를위한In-Vehicle초고속통신반도체기술개발(R&D),"레벨 4 이상 자율주행 및 미래 SDV/전장 아키텍처 실현을 위해서는 10Gbps 이상의 데이터 전송 속도를 지원할 수 있는 이더넷 스위치 개발 및 이를 기반으로 한 최적 네트워크 구조 개발이 필수로, ‘SDV 네트워크 인프라 아키텍처’ 및 ‘초고속 통신 반도체’ 개발을 통한 SDV 신시장 대응","(SDV용 초고속 통신 반도체) 광대역 다중 보안 및 지능형 로드 밸런싱 기능 탑재 초고속 이더넷스위치 반도체(10Gbps 이상) 개발 및 차세대 zonal 전장구조향 하드웨어 보안 모듈 적용 네트워크 스위치 개발 / (기능 특화형 ECU 및 제어기술) SDV를 위한 기능을 수행하는 센서 데이터 초고속/고신뢰 전송이 가능한 기능특화형(라이다, 레이더, 카메라 등) ECU 개발 및 네트워크 제어 기술 개발 / (통신 네트워크 아키텍처 개발 및 실증) SDV 최적 구현을 위한 통합형 네트워크 인프라 아키텍처(10Gbps급 다채널 지원 가능) 개발 및 실증","국가연구개발사업 관련 규정에 의거 신청 가능한 기관(대학, 연구소, 기업 등)","과제별 특성에 따라 연구비 차등 지원 - RFP의 수행조건에 따라 산, 학, 연 간 공동개발형태로 수행되며, 출연(기업이 참여하는 경우 매칭) 형태로 지원",45.8,0,45.8,2025-01-25,2025-02-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
SDV용AI가속기반도체기술개발(R&D),세계 최고 수준의 차세대 SDV向 AI가속기 반도체 기술개발을 통한 국내 자동차 산업의 기술 주도권 및 글로벌 기술경쟁력 확보,"(1,000 TOPS급 AI가속기 개발) SDV용 AI 추론성능 지원 가속기 반도체(1,000TOPS급) 개발 및 차량용 기능안전 보안 아키텍처 기술개발 / (AI 컴퓨팅 SW) SDV 신시장 대응을 위한 다양한 인공지능 서비스 동시 구현이 가능한 AI 가속기 및 AP 구동 SW 개발 / (AI 가속기 기반 제어기 모듈 개발 및 검증) SoC 가상화 플랫폼 기반 SW 검증 환경 개발 및 통합제어기 실증","국가연구개발사업 관련 규정에 의거 신청 가능한 기관(대학, 연구소, 기업 등)","과제별 특성에 따라 연구비 차등 지원 - RFP의 수행조건에 따라 산, 학, 연 간 공동개발형태로 수행되며, 출연(기업이 참여하는 경우 매칭) 형태로 지원",42.5,0,42.5,2025-01-25,2025-02-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
XR 디바이스를 위한 AMOLED 마이크로 디스플레이 핵심기술개발(R&D),현실 세계와 가상 세계를 효과적으로 결합할 수 있는 XR 기기의 핵심 표시 소자인 OLED 기반 마이크로 디스플레이(OLEDoS) 패널 및 모듈 제조 기술 개발,"XR 디바이스를 위한 AMOLED 마이크로 디스플레이 핵심기술개발 : 마이크로 OLED 패널, 모듈 2개 분야 5개 세부기술개발 과제 지원","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 12억원 내외, 총 개발기간 5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",54,0,54,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
건설현장다목적고소작업을위한로봇플랫폼및XR기반인간로봇협업기술개발,"건설현장 고소작업 수행 시, 작업자 중심 현장 시공 작업 방식의 파괴적 혁신을 위한 건설로봇 및 인간-로봇 협력 운용 기술개발","건설현장 고숙련·위험 고소작업 3종(용접, 내와뿜칠, 도장)의 자율작업이 가능한 로봇 작업 지능-모듈화 및 인간-로봇 커뮤니케이션 기술개발 지원 ※ 다부처 협업사업(산업부-국토부) - (국토부) 주관부처로 건설현장 고소작업 작업자-로봇 원격제어 기술, 통합관제 기술을 개발하고 테스트베드 등 구축 운영","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 10억원 내외, 총 개발기간 4~5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",10.08,0,10.08,2025-01-25,2025-03-25,2025-01-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
공간컴퓨팅구현첨단XR디바이스·부품통합형기술개발(R&D),대형시장 개화가 임박한 XR산업의 시장선점을 위하여 세계최초·세계최고의 첨단 XR디바이스·핵심부품·서비스·콘텐츠 통합개발,공간컴퓨팅구현첨단XR디바이스·부품통합형기술개발 : 첨단 XR디바이스 및 핵심부품·서비스 분야 4개 세부기술개발 과제 지원,"기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 10억원 내외, 총 개발기간 5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내",27,0,27,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
국가로봇테스트필드사업,로봇 제품의 개발·실증·인증을 포괄적으로 지원하는 가상환경/실환경 기반 국가로봇테스트필드 구축,로봇실증평가기술개발 : 로봇 제품/서비스의 유효성 및 신뢰성 실증을 위한 가상환경 기반 디지털 트윈 실증평가 기술개발 및 실환경 시나리오 기반 실증평가 기술개발 / 실증인프라구축및운영 : 유망 로봇서비스 대상 실-가상환경 양방향 연동 실증 인프라 구축,"기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 10억원 내외, 총 개발기간 4~5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",82.36,298.95,381.31,2025-01-25,2025-03-25,2025-01-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
국가신약개발사업,국내 제약 바이오 산업의 글로벌 경쟁력 강화와 의약주권 확보를 위해 제약기업과 학ㆍ연ㆍ병의 오픈이노베이션 전략을 바탕으로 신약개발 전주기 단계 지원,"신약기반확충 : 질적·양적으로 우수한 초기 파이프라인의 지속적 공급을 목표로 연구자의 창의적·도전적인 연구개발 지원을 통한 유효물질 및 선도물질 도출 지원 / 신약R&D생태계구축연구 : 기초연구와 임상연구 간 연계가 원활히 이뤄질 수 있는 생태계 구축 및 중소 벤처기업 집중 육성 지원 / 신약임상개발 : 기업 중심의 신약 개발 및 글로벌 수준의 기술이전을 위한 임상1상 및 2상 지원 / 신약R&D사업화지원 : 임상, 기술사업화, 제조·생산 등 신약개발의 주요 단계별 장벽 해소 지원","기업, 대학, 연구기관, 병원 등","과제당 연간 4억~35억원 내외, 총 개발기간 24개월 내외 ※ 내역사업별 지원대상 및 지원조건이 상이하며, 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",151.32,236.05,387.37,2025-12-24,2025-05-25,2025-12-24,2025-06-25,2025-01-25,2025-08-25,2025-04-25,2025-09-25
국가전략기준물질개발,"첨단산업 경쟁력 강화와 소재부품의 공급망 안정화를 위한 국가전략기준물질* 개발 및 자립화 기반구축 지원 * 국가전략기준물질 : 국가첨단전략산업 소재 부품의 품질 검증을 위해 필요한 물질로서, 소재 등의 특성값을 정하는데 기준이 되는 표준물질","전략기준물질 : 국가첨단전략산업 경쟁력 강화 및 보호에 관한 특별조치법」에 따라 반도체, 디스플레이, 이차전지, 바이오 4개 산업 분야 분야","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 3.3억원 내외, 총 개발기간 12개월~21개월 내 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내",33,0,33,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25,2025-04-25,2025-04-25
